 : 17
caught : 1
spoke : 1
farther : 1
fiery : 1
stood : 2
implore : 3
echo : 1
gloated : 1
sorrow : 1
uncertain : 1
quoth : 5
startled : 1
croaking : 1
perfumed : 1
thereat : 1
tinkled : 1
let : 2
silence : 1
press : 1
sure : 2
upstarting : 1
censer : 1
ah : 2
forgiveness : 1
myself : 1
mortals : 1
ancient : 1
balm : 1
seat : 1
mystery : 2
flirt : 1
turning : 1
gently : 2
gaunt : 1
pondered : 1
wind : 1
flitting : 1
beguiling : 2
fact : 1
hesitating : 1
lamplight : 3
devil : 2
doubting : 1
eyes : 2
long : 1
moment : 1
remember : 1
cried : 1
youhere : 1
quaff : 2
nightly : 1
came : 3
thrilled : 1
adore : 1
stillness : 2
plainly : 1
scarcely : 1
nodded : 1
broken : 1
liftednevermore : 1
morrowvainly : 1
stopped : 1
art : 1
horror : 1
beating : 1
weary : 1
shutter : 1
laden : 1
black : 1
dreary : 1
store : 1
straight : 1
fast : 1
answer : 1
stayed : 1
evilprophet : 2
borrow : 1
purple : 1
days : 1
unbrokenquit : 1
desert : 1
god : 2
thing : 2
open : 1
countenance : 1
did : 1
surely : 2
till : 3
separate : 1
presently : 1
thy : 7
swung : 1
murmured : 1
wished : 1
obeisance : 1
expressing : 1
lie : 1
metell : 1
agreeing : 1
melancholy : 1
demons : 1
dying : 1
late : 1
leave : 3
methought : 1
rare : 2
repeating : 1
bird : 10
forgotten : 1
morrow : 1
reply : 1
tis : 3
dreaming : 2
smiling : 2
lenore : 8
pallid : 1
ashore : 1
felt : 1
muttered : 2
volume : 1
theeby : 1
longer : 1
flutter : 1
sinking : 1
little : 1
saintly : 1
deep : 1
lore : 1
nearly : 1
lord : 1
beast : 1
loneliness : 1
lent : 1
disaster : 1
burden : 2
flown : 2
clasp : 2
doubtless : 1
nevernevermore : 1
stronger : 1
lies : 1
faintly : 1
napping : 2
just : 2
human : 1
midnight : 1
unto : 1
living : 1
wide : 1
ghastly : 2
shore : 3
blessed : 1
visiter : 3
suddenly : 1
grew : 2
discourse : 1
home : 1
eagerly : 1
shorn : 1
form : 1
lattice : 1
nights : 2
fiend : 1
lady : 1
window : 1
uttered : 1
ebony : 1
feather : 1
thereis : 1
fancy : 3
shadow : 1
wheeled : 1
ungainly : 2
dirges : 1
surcease : 1
hope : 1
plume : 1
soon : 1
maiden : 3
fearing : 1
lost : 2
divining : 1
relevancy : 1
nameless : 1
truly : 2
darkness : 2
lonely : 1
guessing : 1
hath : 2
crest : 1
unbroken : 1
ember : 1
ominous : 2
linking : 1
distant : 1
violet : 1
wretch : 1
distinctly : 1
tempter : 1
heaven : 1
unhappy : 1
books : 1
stately : 1
marvelled : 1
plutonian : 2
gave : 1
shadows : 1
outpour : 1
wore : 1
word : 5
shrieked : 1
engaged : 1
gileadtell : 1
bosoms : 1
usby : 1
mefilled : 1
cushions : 1
prophet : 2
air : 1
thinking : 1
weak : 1
burned : 1
madam : 1
bleak : 1
decorum : 1
streaming : 1
ghost : 1
sorrowsorrow : 1
seeing : 1
gloating : 1
denser : 1
aidenn : 1
angels : 4
shaven : 1
nepenthe : 2
memories : 1
december : 1
dared : 1
hopes : 1
betook : 1
merely : 1
oer : 3
quaint : 1
meant : 1
explore : 2
raven : 10
thou : 1
wandering : 1
fowl : 2
bore : 3
token : 2
help : 1
respiterespite : 1
enchanted : 1
mien : 1
songs : 1
rapping : 3
scarce : 1
tufted : 1
unseen : 1
grim : 2
cushioned : 1
door : 14
beak : 1
tell : 2
placid : 1
sign : 1
silken : 1
rustling : 1
pallas : 2
unmerciful : 1
seraphim : 1
wondering : 1
sculptured : 1
faster : 1
chamber : 11
desolate : 1
peering : 1
hauntedtell : 1
entrance : 2
stock : 1
tapping : 5
curious : 1
syllable : 1
kind : 1
shall : 3
opened : 1
throws : 1
sent : 2
heart : 3
friends : 1
utters : 1
sainted : 1
core : 1
forget : 1
parting : 1
dream : 1
flung : 1
evermore : 1
fluttered : 1
curtain : 1
tossed : 1
ease : 1
soul : 7
dreams : 1
radiant : 2
bends : 1
head : 1
nevermore : 9
tempest : 2
floating : 1
sad : 3
oh : 1
land : 1
bust : 6
floor : 4
said : 7
footfalls : 1
heard : 2
lordly : 1
hear : 1
reclining : 1
louder : 1
stepped : 1
grave : 1
undaunted : 1
entreating : 2
sat : 3
meaninglittle : 1
perched : 3
craven : 1
sought : 1
stern : 1
followed : 2
whispered : 2
minute : 1
master : 1
burning : 1
yore : 3
wrought : 1
velvet : 3
terrors : 1
lining : 2
fantastic : 1
spoken : 3
aptly : 1
sitting : 3
